task,role,brief_url,locale,url,sanity_id,exists,draft_exists,status_code,redirects_to,notes
5,target,/blog/best-time-to-visit-egypt,ja,/ja/blog/ejiputo-o-otozureru-sairyo-no-jiki,wp-post-170579-ja,published,no,200,,"translation.metadata: tmeta-wp-post-132475, translation.metadata.wp-post-132475"
5,source,/blog/best-time-to-cruise-the-nile,en,/blog/best-time-to-cruise-the-nile,wp-post-112770-en,published,no,200,,"translation.metadata: tmeta-wp-post-112770, translation.metadata.wp-post-112770"
5,source,/blog/best-time-to-cruise-the-nile,es,/es/blog/para-navegar-por-el-nilo,wp-post-144355-es,published,no,200,,"translation.metadata: tmeta-wp-post-112770, translation.metadata.wp-post-112770"
5,source,/blog/best-time-to-cruise-the-nile,ja,/ja/blog/nairu-kuruzu-ni-saiteki-na-jiki,wp-post-167055-ja,published,no,200,,"translation.metadata: tmeta-wp-post-112770, translation.metadata.wp-post-112770"
9,target,/blog/the-story-of-king-tutankhamun-tomb,en,/blog/the-story-of-king-tutankhamun-tomb,wp-post-235766-en,published,no,200,,"translation.metadata: tmeta-wp-post-235766, translation.metadata.wp-post-235766"
9,target,/blog/the-story-of-king-tutankhamun-tomb,es,/es/blog/la-historia-de-la-tumba-de-tutankhamun,wp-post-236110-es,published,no,200,,"translation.metadata: tmeta-wp-post-235766, translation.metadata.wp-post-235766"
9,target,/blog/the-story-of-king-tutankhamun-tomb,ja,/ja/blog/tsutankamen-no-haka,wp-post-238735-ja,published,no,200,,"translation.metadata: tmeta-wp-post-235766, translation.metadata.wp-post-235766"
9,source,/blog/the-1922-discovery-of-tutankhamuns-tomb-why-it-matters-the-ultimate-guide,en,/blog/the-1922-discovery-of-tutankhamuns-tomb-why-it-matters-the-ultimate-guide,wp-post-235225-en,published,no,200,,"translation.metadata: tmeta-wp-post-235225, translation.metadata.wp-post-235225"
9,source,/blog/the-1922-discovery-of-tutankhamuns-tomb-why-it-matters-the-ultimate-guide,es,/es/blog/descubrimiento-de-la-tumba-de-tutankhamun,wp-post-236211-es,published,no,200,,"translation.metadata: tmeta-wp-post-235225, translation.metadata.wp-post-235225"
9,source,/blog/the-1922-discovery-of-tutankhamuns-tomb-why-it-matters-the-ultimate-guide,ja,/ja/blog/tsutankamen-no-haka-no-hakken,wp-post-238800-ja,published,no,200,,"translation.metadata: tmeta-wp-post-235225, translation.metadata.wp-post-235225"
10,target,/blog/the-definitive-guide-to-egypt-nile-cruise,en,/blog/the-definitive-guide-to-egypt-nile-cruise,wp-post-97294-en,published,no,200,,"translation.metadata: tmeta-wp-post-97294, translation.metadata.wp-post-97294"
10,target,/blog/the-definitive-guide-to-egypt-nile-cruise,es,/es/blog/crucero-por-el-nilo-en-egipto,wp-post-144338-es,published,no,200,,"translation.metadata: tmeta-wp-post-97294, translation.metadata.wp-post-97294"
10,target,/blog/the-definitive-guide-to-egypt-nile-cruise,ja,/ja/blog/ejiputo-no-nairu-kuruzu-kanzen-gaido,wp-post-164256-ja,published,no,200,,"translation.metadata: tmeta-wp-post-97294, translation.metadata.wp-post-97294"
10,source,/blog/historical-sites-visited-by-a-nile-cruise,en,/blog/historical-sites-visited-by-a-nile-cruise,wp-post-112663-en,published,no,200,,"translation.metadata: tmeta-wp-post-112663, translation.metadata.wp-post-112663"
10,source,/blog/historical-sites-visited-by-a-nile-cruise,es,/es/blog/historicos-visitados-en-un-crucero-por-el-nilo,wp-post-144356-es,published,no,200,,"translation.metadata: tmeta-wp-post-112663, translation.metadata.wp-post-112663"
